pid,majorcat,province,area,sex,age,a003,a004_10,a010,a014,a016,a018,a019,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d007_10,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,com_area,industry,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,work_timeB,commuting_time,나이,학점,성별,건강상태,결혼상태,대학지역,전공일치,본전공,재학중일자리경험,삶의만족도_개인,삶의만족도_관계,삶의만족도_소속집단,종사자수,업무만족도,교통수단,출퇴근시간,사업체지역,산업체
514114,5,4,경북,2,24.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3,4.0,1,4,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-03-01,,13.0,0,13.0,1,0,1,2,1,3,3,2,2,2,2,1,2,2,2.0,12,2,3,2,2,2,8.0,9.0,3.0,3,1,2,1,1,2,3,3,3,2.0,2,2,0,0,,24.416666667,3.0,여자,건강하다,미혼,비수도권,맞지않다,이공계,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,,경기,숙박/음식점업
514179,5,1,서울,1,25.833333333,1.0,18.0,-1.0,8.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,3,3.5,2,5,7,7,7,1,2018,0,1,2012-03-01,2018-02-28,2018-09-01,2015-08-01,,,37.0,,0,37.0,1,1,2,2,-1,4,4,2,2,2,2,2,2,2,1.0,3,2,2,2,2,2,8.0,18.0,3.0,3,1,1,1,1,2,3,3,3,,3,3,0,0,60.0,25.833333333,3.0,남자,건강하다,미혼,수도권,맞지않다,이공계,없다,그렇지않다,그렇지않다,그렇지않다,,그렇지않다,승용차,60.0,경기,예술/스포츠/여가관련서비스업
514180,5,1,서울,1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,28.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3,3.7,1,2,4,5,6,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-02-01,,12.0,0,12.0,1,0,4,4,3,4,4,1,1,1,1,1,2,1,4.0,28,1,2,1,1,1,1.0,16.0,3.0,1,1,1,3,3,2,2,3,3,2.0,3,3,0,0,,26.0,3.0,남자,건강하지않다,미혼,수도권,잘맞다,이공계,있다,보통이다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,서울,교육서비스업
514188,5,2,강원,1,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,-1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,20.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3,2.7,2,3,6,7,7,1,2018,1,2,2010-03-01,2017-08-31,2018-09-01,,2016-06-01,2017-08-01,,14.0,0,14.0,1,0,3,4,-1,4,4,1,1,1,1,1,1,1,5.0,20,2,2,2,2,2,9.0,16.0,3.0,2,1,1,2,3,2,3,3,3,,3,3,1,0,,29.5,3.0,남자,보통이다,미혼,수도권,보통이다,이공계,없다,그렇지않다,그렇지않다,그렇지않다,,그렇지않다,,,강원,교육서비스업
514297,5,3,충남,1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,20.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3,4.0,1,4,5,5,5,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-08-01,2018-11-01,,3.0,0,3.0,0,0,1,1,1,4,4,3,3,3,3,3,3,3,5.0,20,2,2,2,2,2,11.0,9.0,3.0,3,1,2,1,1,2,3,3,3,2.0,3,3,0,0,,26.0,3.0,남자,건강하다,미혼,비수도권,맞지않다,이공계,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,충남,숙박/음식점업
514302,5,3,충남,2,23.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,-1.0,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,40.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3,3.5,1,4,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-12-01,,5.0,0,5.0,0,0,4,4,-1,4,4,1,1,3,1,1,1,3,5.0,40,1,2,1,1,1,,10.0,3.0,3,1,2,3,3,2,3,3,3,,3,3,0,0,,23.833333333,3.0,여자,건강하다,미혼,비수도권,잘맞다,이공계,있다,그렇지않다,그렇지않다,그렇지않다,,그렇지않다,,,,정보통신업
514761,6,1,서울,2,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,22.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2,4.0,1,3,5,5,6,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2017-02-01,2018-08-01,,18.0,0,18.0,1,0,2,1,3,4,4,1,2,2,2,2,2,2,2.0,22,3,2,2,2,2,8.0,9.0,2.0930232558,2,1,1,1,1,2,3,3,3,2.0,3,3,0,0,,25.75,2.0930232558,여자,보통이다,미혼,수도권,맞지않다,이공계,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,경기,숙박/음식점업
514846,6,4,부산,2,23.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,-1.0,15.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,40.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3,3.4,1,3,4,5,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-02-01,2018-02-01,,0.0,0,0.0,0,0,2,4,-1,2,2,1,2,2,2,2,2,2,5.0,40,1,3,1,1,1,15.0,17.0,3.0,2,1,2,1,3,2,2,3,3,,1,1,0,0,,23.666666667,3.0,여자,보통이다,미혼,비수도권,맞지않다,이공계,있다,보통이다,그렇지않다,그렇지않다,,그렇다,,,경남,보건업/사회복지서비스업
514858,6,5,광주,1,26.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,5.0,6.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,48.0,3.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,3,3.7,2,4,7,7,7,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-04-01,2019-05-01,,13.0,0,13.0,1,0,5,5,5,3,3,1,1,1,3,1,3,1,6.0,48,1,3,1,1,1,6.0,17.0,3.0,3,1,2,3,3,2,3,3,3,2.0,2,2,0,1,,26.583333333,3.0,남자,건강하다,미혼,비수도권,잘맞다,이공계,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,,광주,보건업/사회복지서비스업
515059,6,4,경북,1,27.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3,3.7,1,4,3,3,4,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-06-01,,3.0,0,3.0,0,0,1,1,1,3,3,2,2,2,2,2,2,2,2.0,10,2,2,2,2,2,1.0,7.0,3.0,3,1,2,1,1,2,1,1,2,2.0,2,2,0,0,,27.416666667,3.0,남자,건강하다,미혼,비수도권,맞지않다,이공계,있다,그렇다,그렇다,보통이다,1000명미만,보통이다,,,서울,도매/소매업
515110,7,3,충북,2,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.5,40.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3,3.7,1,2,7,7,7,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-07-01,,16.0,0,16.0,1,0,1,1,3,3,4,1,1,1,2,2,1,1,5.5,40,1,2,1,1,1,10.0,14.0,3.0,1,1,2,1,1,3,3,3,3,2.0,2,3,0,0,,25.5,3.0,여자,건강하지않다,미혼,비수도권,맞지않다,예체능,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,,충북,사업시설관리/사업지원및임대서비스업
515119,7,4,대구,1,26.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2,3.7,1,4,4,2,2,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2019-01-01,2019-04-01,,3.0,0,3.0,0,0,1,1,2,2,2,3,2,3,2,2,2,2,2.0,12,3,3,3,1,3,3.0,7.0,2.0930232558,3,1,2,1,1,3,2,1,1,2.0,1,1,0,0,,26.333333333,2.0930232558,남자,건강하다,미혼,비수도권,맞지않다,예체능,있다,보통이다,그렇다,그렇다,1000명미만,그렇다,,,대구,도매/소매업
515343,7,3,충북,2,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,10.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,5.0,40.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3,3.8,2,2,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-04-01,,13.0,0,13.0,1,0,1,1,2,4,4,1,3,2,2,3,1,2,5.0,40,1,2,1,1,1,10.0,12.0,3.0,1,1,2,1,1,3,3,3,3,2.0,3,3,0,0,,25.5,3.0,여자,건강하지않다,미혼,비수도권,맞지않다,예체능,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,충북,부동산업
515344,7,3,충북,2,23.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3,3.9,1,2,2,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-07-01,2019-04-01,,9.0,0,9.0,0,0,2,2,6,4,4,1,1,1,1,1,1,1,5.0,40,3,2,1,1,1,,9.0,3.0,1,1,2,1,1,3,1,2,2,2.0,3,3,1,0,,23.833333333,3.0,여자,건강하지않다,미혼,비수도권,맞지않다,예체능,있다,그렇다,보통이다,보통이다,1000명미만,그렇지않다,,,,숙박/음식점업
515405,7,2,경기,2,27.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,40.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3,3.0,1,4,5,5,5,1,2018,1,2,2012-03-01,2017-08-31,2018-09-01,,2017-09-01,2019-01-01,,16.0,0,16.0,1,0,4,4,5,4,4,1,1,1,2,1,1,1,5.0,40,1,2,1,1,1,8.0,13.0,3.0,3,1,1,3,3,3,3,3,3,2.0,3,3,0,0,,27.666666667,3.0,여자,건강하다,미혼,수도권,잘맞다,예체능,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,경기,전문과학및기술서비스업
515432,7,3,대전,1,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,40.0,2.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1,3.7,1,5,7,7,7,1,2018,1,2,2011-03-01,2017-08-31,2018-09-01,,2017-05-01,2018-09-01,,16.0,0,16.0,1,0,5,5,2,5,2,1,1,2,2,2,2,2,5.0,40,1,2,1,1,1,1.0,6.0,1.125,3,1,2,3,3,3,3,3,3,2.0,3,1,0,0,,27.0,1.125,남자,건강하다,미혼,비수도권,잘맞다,예체능,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,서울,건설업
515487,7,4,울산,1,30.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,40.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3,3.2,2,4,5,3,4,1,2018,1,2,2008-03-01,2017-08-31,2018-09-01,,2017-09-01,2018-09-01,,12.0,0,12.0,1,0,1,1,2,2,3,1,1,3,2,3,3,3,5.0,40,1,2,1,1,1,1.0,7.0,3.0,3,1,2,1,1,3,3,1,2,2.0,1,2,0,0,,30.333333333,3.0,남자,건강하다,미혼,비수도권,맞지않다,예체능,없다,그렇지않다,그렇다,보통이다,1000명미만,그렇다,,,서울,도매/소매업
