pid,majorcat,province,area,sex,age,a003,a004_10,a010,a014,a016,a018,a019,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d007_10,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,com_area,industry,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,work_timeB,commuting_time,나이,학점,성별,건강상태,결혼상태,대학지역,전공일치,본전공,재학중일자리경험,삶의만족도_개인,삶의만족도_관계,삶의만족도_소속집단,종사자수,업무만족도,교통수단,출퇴근시간
59988,2,3,충남,1,27.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,8.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,40.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3,4.28,1,5,7,7,5,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-04-01,2019-06-01,,2.0,0,2.0,0,0,2,1,3,1,1,3,2,2,2,3,3,3,6.0,40,1,2,1,1,1,8.0,19.0,3.0,3,1,2,1,1,1,3,3,3,2.0,1,1,0,0,,27.833333333,3.0,남자,건강하다,미혼,비수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇다,,
60021,2,3,충북,1,26.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,72.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3,3.6,1,5,6,6,5,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-03-01,2019-05-01,,2.0,0,2.0,0,0,4,4,3,4,4,2,2,2,2,2,2,2,6.0,72,1,2,1,1,1,1.0,9.0,3.0,3,1,2,3,3,1,3,3,3,2.0,3,3,0,1,,26.666666667,3.0,남자,건강하다,미혼,비수도권,잘맞다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,
60039,2,4,경남,1,31.583333333,2.0,3.0,9.0,15.0,4.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,40.0,5.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3,4.2,2,5,5,4,5,1,2019,0,1,2017-03-01,2019-02-28,2019-09-01,2012-08-01,,,85.0,,0,85.0,1,1,5,4,9,3,5,1,1,1,1,1,2,1,5.0,40,1,2,1,1,1,15.0,3.0,3.0,3,1,2,3,3,1,3,2,3,1.0,2,3,0,0,10.0,31.583333333,3.0,남자,건강하다,미혼,비수도권,잘맞다,문과,없다,그렇지않다,보통이다,그렇지않다,1000명이상,보통이다,통근버스,10.0
60047,2,4,경남,2,24.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,-1.0,15.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,54.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3,1.98,2,2,3,3,3,2,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-01-01,2019-09-01,,8.0,0,8.0,0,0,3,3,-1,4,3,1,1,1,2,1,2,1,6.0,54,1,2,1,1,1,15.0,9.0,3.0,1,2,2,2,2,1,1,1,1,,3,2,0,1,,24.333333333,3.0,여자,건강하지않다,기혼,비수도권,보통이다,문과,없다,그렇다,그렇다,그렇다,,그렇지않다,,
60088,2,4,대구,2,26.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,14.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,40.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2,3.6,1,2,6,6,6,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2018-08-01,2020-04-01,,20.0,0,20.0,1,0,2,4,5,4,3,1,1,3,2,1,3,3,5.0,40,1,2,1,1,1,14.0,3.0,2.0930232558,1,1,2,1,3,1,3,3,3,2.0,3,2,0,0,,26.166666667,2.0930232558,여자,건강하지않다,미혼,비수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,
60098,2,4,부산,2,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,16.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,40.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3,3.42,1,4,4,4,4,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2018-03-01,2019-03-01,,12.0,0,12.0,1,0,3,2,6,2,2,1,1,1,2,1,3,1,5.0,40,1,2,1,1,1,16.0,11.0,3.0,3,1,2,2,1,1,2,2,2,2.0,1,1,0,0,,25.75,3.0,여자,건강하다,미혼,비수도권,보통이다,문과,있다,보통이다,보통이다,보통이다,1000명미만,그렇다,,
60110,2,4,부산,1,26.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,40.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,3,3.7,1,3,6,6,6,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-04-01,2020-04-01,,12.0,0,12.0,1,0,4,4,6,3,3,1,1,1,2,1,3,1,6.0,40,1,2,1,1,3,2.0,17.0,3.0,2,1,2,3,3,1,3,3,3,2.0,2,2,0,0,,26.416666667,3.0,남자,보통이다,미혼,비수도권,잘맞다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,
60148,2,4,부산,2,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,40.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3.9,2,5,7,7,7,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2018-03-01,2019-02-01,,11.0,0,11.0,0,0,2,2,1,3,3,1,2,2,2,2,2,2,5.0,40,2,2,2,2,2,15.0,16.0,3.0,3,1,2,1,1,1,3,3,3,2.0,2,2,0,0,,26.5,3.0,여자,건강하다,미혼,비수도권,맞지않다,문과,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,보통이다,,
60185,2,5,전북,2,24.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3.6,2,4,4,5,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-04-01,2019-10-01,,6.0,0,6.0,0,0,2,2,1,2,2,3,3,3,3,3,3,3,5.0,40,2,2,2,2,2,12.0,14.0,3.0,3,1,2,1,1,1,2,3,2,2.0,1,1,0,0,,24.333333333,3.0,여자,건강하다,미혼,비수도권,맞지않다,문과,없다,보통이다,그렇지않다,보통이다,1000명미만,그렇다,,
60208,2,1,서울,1,28.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,-1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,18.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3.88,1,2,2,6,4,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2018-09-01,2018-12-01,,3.0,0,3.0,0,0,3,2,-1,3,3,2,2,2,1,2,1,2,3.0,18,2,2,1,2,2,1.0,16.0,3.0,1,1,1,2,1,1,1,3,2,,2,2,0,0,,28.166666667,3.0,남자,건강하지않다,미혼,수도권,보통이다,문과,있다,그렇다,그렇지않다,보통이다,,보통이다,,
